istatenum;icasenum;ivnumber;ipnumber;iarrhr;iarrmin;sarrtime;iatmcond;icity;iconszone;icounty;saccdate;iaccday;iacchr;iaccmin;iaccmon;iarf1;iarf2;iarf3;sacctime;iaccyr;dayofweek;ihosphr;ihospmin;shosptime;ifhevent;ihitrun;iholiday;heavytruck;latitude;ilatdeg;ilatmin;ilatsec;ilightcond;longitude;ilondeg;ilonmin;ilonsec;imanncol;smilepnt;inhs;inothr;inotmin;snottime;numfatal;inmforms;ipforms;itraflane;ivforms;srxing;ireljunc;irelrdwy;iroadalgn;irfun;iroadprof;isurfcond;isurftype;irtesign;ischlbus;ispejur;ispdlim;icontdev;idevfunc;itrafflow;strafid;strafid2;iage;iairbag;ialcres;ialctst;sdthdate;ideathday;ideathhr;ideathmin;ideathmon;sdthtime;ideathyr;idiedscene;idrugres1;idrugres2;idrugres3;idrugtst1;idrugtst2;idrugtst3;iejection;iejectpath;iextricat;iinjurwrk;ihispanic;iinjury;imethalc;imethdrug;inmlocat;istrikveh;iprf1;iprf2;iprf3;iptype;idruginv;ialcinvol;irace;irestraint;iseatpos;isex;itakehosp;lagtime
6;11;1;1;99;99;9999;1;2840;0;1;1052006;5;99;99;1;0;0;0;9999;2006;5;0;0;0;33;0;.;0;37.70103611;37;42;373;3;-121.88288889;121;52;5840;0;0;0;99;99;9999;1;0;1;3;1;0;1;4;2;14;1;1;2;6;0;0;40;0;0;2;ROSEWOOD DR;.;34;1;16;1;1052006;5;99;99;1;9999;2006;7;1;0;0;1;0;0;2;2;0;0;7;4;9;8;0;0;0;0;0;1;9;9;28;0;11;1;0;99999
6;12;1;1;99;99;9999;1;0;0;65;1062006;6;10;40;1;0;0;0;1040;2006;6;99;99;9999;12;0;0;0;33.54485278;33;32;4147;1;-116.73085833;116;43;5109;4;682;0;99;99;9999;1;0;2;2;2;0;8;1;1;3;1;1;2;3;0;0;55;0;0;1;SR-371;.;56;30;0;1;1062006;6;10;40;1;1040;2006;7;1;0;0;1;0;0;0;0;0;0;7;4;9;8;0;0;0;0;0;1;9;9;1;5;11;1;0;0
6;12;2;1;99;99;9999;1;0;0;65;1062006;6;10;40;1;0;0;0;1040;2006;6;99;99;9999;12;0;0;0;33.54485278;33;32;4147;1;-116.73085833;116;43;5109;4;682;0;99;99;9999;1;0;2;2;2;0;8;1;1;3;1;1;2;3;0;0;55;0;0;1;SR-371;.;53;1;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;9;8;0;0;0;0;0;1;8;0;0;3;11;1;1;99999
6;13;1;1;99;99;9999;1;1980;0;37;1062006;6;18;30;1;0;0;0;1830;2006;6;99;99;9999;38;0;0;0;34.24513889;34;14;4250;2;-118.27931389;118;16;4553;0;0;0;99;99;9999;1;0;2;2;1;0;1;4;1;15;2;5;2;6;0;0;20;0;0;1;HAINES CYN AVE;.;44;29;10;1;1062006;6;19;35;1;1935;2006;0;1;0;0;1;0;0;0;0;0;0;7;4;9;8;0;0;0;0;0;1;9;9;1;3;11;1;1;105
6;13;1;2;99;99;9999;1;1980;0;37;1062006;6;18;30;1;0;0;0;1830;2006;6;99;99;9999;38;0;0;0;34.24513889;34;14;4250;2;-118.27931389;118;16;4553;0;0;0;99;99;9999;1;0;2;2;1;0;1;4;1;15;2;5;2;6;0;0;20;0;0;1;HAINES CYN AVE;.;34;29;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3;9;8;0;0;0;0;0;2;8;8;0;3;13;1;1;99999
6;14;0;1;99;99;9999;1;0;0;73;1062006;6;18;54;1;0;0;0;1854;2006;6;99;99;9999;8;0;0;0;32.75106944;32;45;385;2;-117.20491944;117;12;1771;0;0;0;99;99;9999;1;1;2;2;1;0;1;1;1;14;1;1;2;6;0;0;40;0;0;2;ROSECRANS ST;.;64;0;3;1;1062006;6;19;24;1;1924;2006;0;1;0;0;1;0;0;0;0;0;0;7;4;9;8;12;1;3;2;0;5;9;9;2;0;0;1;1;30
6;14;1;1;99;99;9999;1;0;0;73;1062006;6;18;54;1;0;0;0;1854;2006;6;99;99;9999;8;0;0;0;32.75106944;32;45;385;2;-117.20491944;117;12;1771;0;0;0;99;99;9999;1;1;2;2;1;0;1;1;1;14;1;1;2;6;0;0;40;0;0;2;ROSECRANS ST;.;32;20;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;9;8;0;0;0;0;0;1;8;0;0;3;11;1;0;99999
6;15;1;1;99;99;9999;1;0;0;25;1062006;6;19;55;1;0;0;0;1955;2006;6;99;99;9999;35;0;0;1;33.07502778;33;4;3010;2;-115.57956944;115;34;4645;0;0;0;99;99;9999;1;0;1;2;1;0;1;4;2;5;1;1;2;4;0;0;55;0;0;1;KALIN RD;.;40;30;0;1;1072006;7;1;50;1;150;2006;0;1;0;0;3;0;0;1;3;0;1;7;4;9;8;0;0;0;0;0;1;9;9;19;0;11;1;1;555
6;16;0;1;99;99;9999;2;3340;2;85;1072006;7;2;55;1;0;0;0;255;2006;7;0;0;0;8;2;0;0;37.31734167;37;19;243;3;-121.94086389;121;56;2711;0;54;1;99;99;9999;1;1;2;4;1;0;1;1;1;11;1;2;1;1;0;0;65;0;0;3;I-280;.;31;0;22;1;1072006;7;2;55;1;255;2006;7;1;0;0;1;0;0;0;0;0;0;7;4;9;8;12;1;2;0;0;5;8;9;1;0;0;1;0;0
6;16;1;1;99;99;9999;2;3340;2;85;1072006;7;2;55;1;0;0;0;255;2006;7;0;0;0;8;2;0;0;37.31734167;37;19;243;3;-121.94086389;121;56;2711;0;54;1;99;99;9999;1;1;2;4;1;0;1;1;1;11;1;2;1;1;0;0;65;0;0;3;I-280;.;99;99;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;9;9;8;0;0;0;0;0;1;9;9;0;99;11;9;0;99999
